agmerra_0001_217_DZA_NF	generated from NASA GISS AgMERRA NetCDF4
0.1250 35.8750
month day year tmax tmin solar rain rh wind
1 1 1980 17.800 10.800 83.333 0.000 75.000 5.200
1 2 1980 17.700 10.700 98.380 0.800 69.100 2.900
1 3 1980 17.600 9.000 92.593 0.000 61.800 0.800
1 4 1980 19.200 8.600 120.370 0.000 50.800 0.700
1 5 1980 15.900 8.200 50.926 0.000 72.200 3.900
1 6 1980 16.800 9.000 82.176 0.000 63.200 0.600
1 7 1980 18.600 8.500 123.843 0.000 50.400 0.700
1 8 1980 17.700 8.900 122.685 0.000 51.600 1.300
1 9 1980 15.500 8.500 62.500 1.500 74.400 2.600
1 10 1980 15.400 8.100 67.130 0.000 70.100 3.700
1 11 1980 14.600 8.100 76.389 0.000 65.200 2.800
1 12 1980 13.400 6.700 52.083 2.500 71.300 2.700
1 13 1980 12.000 6.900 31.250 9.300 68.500 3.800
1 14 1980 11.600 6.300 27.778 8.300 77.100 1.900
1 15 1980 11.600 6.700 17.361 12.900 84.100 6.400
1 16 1980 16.600 6.600 135.417 2.200 41.400 4.000
1 17 1980 14.700 6.400 82.176 1.100 65.200 5.800
1 18 1980 13.500 7.800 62.500 1.400 67.800 5.000
1 19 1980 13.600 7.600 111.111 0.000 52.200 5.100
1 20 1980 15.000 8.100 98.380 2.400 72.700 4.800
1 21 1980 16.800 9.100 104.167 0.000 65.400 3.300
1 22 1980 15.600 8.300 93.750 0.000 67.900 4.000
1 23 1980 18.200 7.800 142.361 0.000 48.300 2.100
1 24 1980 22.700 10.300 152.778 0.000 34.200 2.100
1 25 1980 23.000 10.400 138.889 0.000 37.700 2.500
1 26 1980 21.800 7.800 148.148 0.000 30.500 1.800
1 27 1980 18.700 9.700 69.444 0.000 47.700 2.200
1 28 1980 20.400 10.000 69.444 4.500 62.900 3.100
1 29 1980 18.700 7.900 156.250 0.000 44.600 0.700
1 30 1980 18.800 8.200 128.472 0.000 56.800 1.200
1 31 1980 19.500 10.300 137.731 0.000 58.500 4.000
2 1 1980 18.000 11.700 47.454 1.700 71.700 2.200
2 2 1980 17.800 8.500 97.222 0.000 62.000 1.800
2 3 1980 18.400 10.300 146.991 0.000 56.900 1.800
2 4 1980 19.000 10.600 136.574 0.000 57.400 1.900
2 5 1980 20.700 11.000 156.250 0.000 49.200 2.200
2 6 1980 18.900 10.900 108.796 0.000 59.200 4.200
2 7 1980 19.000 11.100 106.481 0.000 64.100 2.400
2 8 1980 22.000 10.100 177.083 0.000 35.300 1.100
2 9 1980 21.700 11.200 177.083 0.000 34.300 0.700
2 10 1980 16.800 10.400 113.426 0.000 70.800 3.400
2 11 1980 16.500 10.300 142.361 0.000 60.200 2.600
2 12 1980 18.500 8.600 178.241 0.000 44.100 1.800
2 13 1980 19.400 10.300 180.556 0.000 41.500 1.000
2 14 1980 19.700 9.600 184.028 0.000 54.300 1.900
2 15 1980 19.400 10.900 141.204 0.000 58.700 2.800
2 16 1980 19.300 10.900 76.389 1.200 65.500 2.500
2 17 1980 18.200 11.100 92.593 0.000 65.600 2.200
2 18 1980 21.500 9.700 173.611 0.000 43.300 3.800
2 19 1980 19.600 11.100 32.407 2.000 61.100 3.100
2 20 1980 19.400 11.200 130.787 2.900 49.200 2.000
2 21 1980 17.300 11.400 111.111 1.700 72.500 2.700
2 22 1980 19.200 11.800 123.843 0.000 58.600 1.800
2 23 1980 23.300 10.500 209.491 0.000 34.700 3.800
2 24 1980 20.900 9.800 134.259 0.000 37.500 2.700
2 25 1980 16.400 10.800 106.481 2.200 68.600 2.100
2 26 1980 17.000 11.100 93.750 7.200 61.600 1.300
2 27 1980 15.500 9.900 118.056 0.000 60.100 0.700
2 28 1980 17.700 9.700 178.241 0.000 55.700 3.100
2 29 1980 20.700 8.300 83.333 0.000 42.000 3.300
3 1 1980 20.200 11.700 55.556 0.000 41.300 1.400
3 2 1980 24.700 12.900 163.194 0.000 33.300 1.100
3 3 1980 20.000 11.700 76.389 1.800 50.700 1.000
3 4 1980 20.700 12.400 118.056 10.300 59.700 1.600
3 5 1980 14.600 11.600 15.046 29.900 84.600 4.700
3 6 1980 19.100 12.300 155.093 0.000 61.200 4.000
3 7 1980 18.500 12.800 165.509 1.200 66.300 7.100
3 8 1980 17.500 10.800 189.815 1.000 54.900 4.700
3 9 1980 19.700 10.400 210.648 0.000 46.100 1.200
3 10 1980 21.500 9.900 226.852 0.000 35.700 1.700
3 11 1980 19.600 11.200 175.926 0.000 56.700 2.000
3 12 1980 17.100 10.600 185.185 1.100 58.300 2.100
3 13 1980 20.700 8.700 232.639 0.000 37.600 3.000
3 14 1980 17.000 10.300 210.648 0.000 41.800 3.700
3 15 1980 14.800 8.600 106.481 1.500 68.700 2.300
3 16 1980 18.700 8.100 171.296 0.000 31.200 1.900
3 17 1980 22.700 9.100 185.185 1.000 39.800 2.500
3 18 1980 18.400 12.300 150.463 0.000 65.100 1.500
3 19 1980 20.800 11.900 189.815 1.000 60.700 3.000
3 20 1980 18.400 11.900 140.046 1.800 66.200 4.600
3 21 1980 21.400 11.800 137.731 0.000 45.700 4.400
3 22 1980 18.800 12.100 224.537 0.000 53.100 6.300
3 23 1980 17.700 11.200 159.722 1.200 58.400 4.700
3 24 1980 21.000 10.100 188.657 0.000 37.200 0.700
3 25 1980 19.900 10.400 208.333 0.000 54.800 4.700
3 26 1980 23.500 11.000 267.361 0.000 43.400 2.800
3 27 1980 26.100 13.900 274.306 0.000 40.400 3.900
3 28 1980 25.100 13.800 274.306 0.000 49.000 3.800
3 29 1980 23.800 14.300 259.259 0.000 63.100 5.000
3 30 1980 24.700 14.300 232.639 0.000 51.100 1.200
3 31 1980 28.700 13.800 296.296 0.000 37.100 1.000
4 1 1980 27.000 16.100 241.898 0.000 40.500 2.000
4 2 1980 23.900 15.100 241.898 0.000 50.900 0.600
4 3 1980 23.500 13.800 200.231 0.000 40.400 3.200
4 4 1980 17.400 11.800 46.296 0.000 47.900 4.500
4 5 1980 18.900 10.300 261.574 0.000 33.000 2.300
4 6 1980 18.900 9.500 270.833 0.000 35.000 2.400
4 7 1980 18.300 9.900 261.574 0.000 39.700 3.100
4 8 1980 19.300 9.600 270.833 0.000 33.400 2.000
4 9 1980 17.700 9.600 263.889 0.000 47.800 2.800
4 10 1980 21.400 7.600 269.676 0.000 22.300 4.100
4 11 1980 23.300 11.400 174.769 0.000 32.400 2.500
4 12 1980 21.200 12.900 206.019 0.000 47.700 1.600
4 13 1980 21.900 13.100 126.157 0.000 42.700 2.800
4 14 1980 26.600 13.500 114.583 2.700 40.000 2.000
4 15 1980 18.100 11.500 274.306 0.000 45.400 5.800
4 16 1980 20.100 11.200 261.574 0.000 39.600 1.900
4 17 1980 21.000 11.900 148.148 0.000 35.700 2.000
4 18 1980 19.700 11.600 238.426 0.000 39.500 2.100
4 19 1980 20.500 11.300 288.194 0.000 38.700 1.200
4 20 1980 22.800 12.500 314.815 0.000 36.300 3.600
4 21 1980 20.300 12.100 211.806 0.400 56.200 2.000
4 22 1980 20.100 10.600 339.120 0.000 25.200 2.500
4 23 1980 21.700 11.000 333.333 0.000 27.100 1.700
4 24 1980 22.900 11.400 326.389 0.000 29.000 2.900
4 25 1980 23.200 12.100 232.639 0.000 39.300 4.100
4 26 1980 21.700 13.500 247.685 0.000 40.700 1.700
4 27 1980 24.500 12.900 319.444 0.000 38.100 1.600
4 28 1980 25.000 14.100 217.593 0.000 37.000 0.900
4 29 1980 16.800 12.300 115.741 16.400 64.500 1.400
4 30 1980 16.000 12.500 164.352 3.800 65.000 6.200
5 1 1980 20.500 13.700 225.694 2.300 56.700 4.400
5 2 1980 27.200 14.100 232.639 0.000 29.300 1.300
5 3 1980 20.200 14.200 142.361 2.300 55.800 2.700
5 4 1980 20.600 13.900 229.167 0.000 58.400 7.500
5 5 1980 22.300 14.200 236.111 0.000 51.800 6.200
5 6 1980 22.800 15.800 160.880 0.000 55.900 6.800
5 7 1980 24.700 15.600 292.824 1.500 45.500 5.000
5 8 1980 23.200 15.100 130.787 4.300 54.500 3.800
5 9 1980 28.500 14.500 311.343 0.000 32.100 0.400
5 10 1980 27.700 15.700 131.944 0.000 35.700 3.100
5 11 1980 29.700 15.800 268.519 1.500 37.700 2.700
5 12 1980 22.600 14.700 187.500 9.200 60.800 3.800
5 13 1980 21.500 13.600 304.398 0.000 46.400 4.200
5 14 1980 24.300 12.700 322.917 0.000 40.000 2.600
5 15 1980 25.500 14.000 297.454 0.000 40.000 1.000
5 16 1980 27.900 16.000 315.972 0.000 32.600 0.500
5 17 1980 25.600 15.900 250.000 0.000 48.300 1.100
5 18 1980 24.000 15.300 240.741 0.000 50.100 1.000
5 19 1980 24.300 14.100 261.574 0.000 33.200 2.900
5 20 1980 26.100 13.500 358.796 0.000 24.500 2.000
5 21 1980 30.600 14.800 357.639 0.000 22.600 1.500
5 22 1980 27.000 15.700 334.491 0.000 34.300 2.400
5 23 1980 25.500 15.400 362.269 0.000 31.300 1.700
5 24 1980 26.700 15.300 319.444 0.000 35.600 2.600
5 25 1980 25.700 15.900 229.167 4.500 34.700 1.200
5 26 1980 22.700 14.900 190.972 0.000 49.800 4.100
5 27 1980 22.100 14.400 233.796 0.000 49.500 5.000
5 28 1980 23.100 14.600 255.787 0.000 45.400 2.700
5 29 1980 23.000 14.500 232.639 1.200 55.800 3.700
5 30 1980 24.800 15.500 283.565 0.000 39.800 4.800
5 31 1980 27.100 15.600 337.963 0.000 44.400 3.900
6 1 1980 28.800 17.900 322.917 0.000 42.500 1.000
6 2 1980 28.700 17.100 350.694 0.000 25.800 4.300
6 3 1980 33.800 16.000 334.491 0.000 19.700 4.300
6 4 1980 30.400 18.000 341.435 0.000 26.700 1.400
6 5 1980 34.100 20.000 339.120 0.000 20.100 0.800
6 6 1980 34.600 22.300 332.176 0.000 28.300 1.200
6 7 1980 29.900 18.300 162.037 1.000 29.500 3.900
6 8 1980 24.800 17.600 340.278 0.000 46.500 5.000
6 9 1980 24.800 17.500 296.296 0.000 48.000 5.400
6 10 1980 26.600 17.800 315.972 0.000 46.500 4.200
6 11 1980 33.800 18.500 329.861 0.000 28.600 0.800
6 12 1980 25.600 18.300 280.093 0.000 48.800 3.000
6 13 1980 27.900 18.000 339.120 0.000 34.400 1.400
6 14 1980 26.300 17.600 195.602 0.000 36.300 2.800
6 15 1980 30.400 18.200 336.806 0.000 27.800 1.500
6 16 1980 30.600 18.000 328.704 0.000 32.700 1.200
6 17 1980 32.500 19.300 336.806 0.000 25.100 1.000
6 18 1980 33.300 20.300 320.602 0.000 23.100 2.000
6 19 1980 34.100 20.100 342.593 0.000 25.300 2.200
6 20 1980 38.300 21.900 172.454 0.000 19.500 2.300
6 21 1980 29.200 20.000 307.870 0.000 48.100 2.100
6 22 1980 33.700 20.700 342.593 0.000 25.900 2.100
6 23 1980 26.900 19.700 346.065 0.000 43.900 5.400
6 24 1980 29.200 19.000 339.120 0.000 37.800 3.800
6 25 1980 33.900 19.900 348.380 0.000 21.200 2.300
6 26 1980 34.900 21.400 343.750 0.000 24.200 1.000
6 27 1980 28.000 19.600 329.861 0.000 41.700 5.100
6 28 1980 29.200 18.100 354.167 0.000 24.400 3.000
6 29 1980 33.900 19.300 356.481 0.000 17.800 1.400
6 30 1980 32.200 21.100 193.287 1.000 22.200 1.900
7 1 1980 31.600 19.000 313.657 0.000 24.300 1.700
7 2 1980 33.200 20.900 348.380 0.000 28.100 2.100
7 3 1980 32.500 20.400 358.796 0.000 27.900 1.500
7 4 1980 34.700 20.600 356.481 0.000 23.800 1.000
7 5 1980 33.700 19.800 340.278 0.000 23.300 2.400
7 6 1980 30.300 18.700 373.843 0.000 29.100 3.100
7 7 1980 35.400 20.000 348.380 0.000 22.700 1.000
7 8 1980 34.800 20.600 339.120 0.000 20.500 4.200
7 9 1980 28.000 19.500 287.037 0.000 38.700 4.900
7 10 1980 27.500 18.400 296.296 0.000 39.200 3.600
7 11 1980 27.000 17.400 356.481 0.000 35.300 4.500
7 12 1980 28.200 17.200 361.111 0.000 30.100 4.200
7 13 1980 33.300 17.600 341.435 0.000 25.000 3.900
7 14 1980 34.200 20.800 334.491 0.000 29.400 1.700
7 15 1980 36.700 21.100 348.380 0.000 19.700 2.200
7 16 1980 29.400 20.400 275.463 0.000 39.000 4.100
7 17 1980 28.500 19.400 317.130 0.000 36.800 4.200
7 18 1980 31.300 18.000 341.435 0.000 27.100 3.100
7 19 1980 35.400 19.600 332.176 0.000 25.000 2.700
7 20 1980 33.300 20.100 328.704 0.000 32.700 1.600
7 21 1980 32.800 21.200 321.759 0.000 34.900 2.100
7 22 1980 33.800 19.900 320.602 0.000 30.700 2.600
7 23 1980 38.300 21.800 337.963 0.000 16.600 1.700
7 24 1980 36.700 23.600 319.444 0.000 28.200 0.500
7 25 1980 34.200 21.600 329.861 0.000 27.100 4.200
7 26 1980 30.700 20.500 318.287 0.000 31.000 5.300
7 27 1980 36.200 20.100 321.759 0.000 15.800 2.100
7 28 1980 37.000 20.600 280.093 0.000 25.400 1.600
7 29 1980 28.500 19.800 299.769 0.000 35.900 4.200
7 30 1980 30.400 20.200 189.815 0.000 32.400 0.400
7 31 1980 32.900 21.100 280.093 0.000 35.000 3.200
8 1 1980 37.900 21.900 334.491 0.000 24.900 2.700
8 2 1980 38.300 23.900 339.120 0.000 20.200 0.800
8 3 1980 35.700 22.700 309.028 0.000 32.500 1.300
8 4 1980 36.600 24.400 292.824 0.000 26.400 0.800
8 5 1980 36.600 23.100 313.657 0.000 28.800 1.200
8 6 1980 36.500 22.200 319.444 0.000 26.600 1.500
8 7 1980 33.000 21.300 318.287 0.000 33.900 1.900
8 8 1980 35.700 24.100 311.343 0.000 29.700 2.100
8 9 1980 36.400 23.400 307.870 0.000 28.200 1.000
8 10 1980 34.000 22.000 284.722 0.000 36.500 1.100
8 11 1980 35.800 22.200 313.657 0.000 25.100 1.000
8 12 1980 35.200 23.000 315.972 0.000 22.200 1.500
8 13 1980 36.100 22.700 305.556 0.000 23.300 1.200
8 14 1980 34.300 22.000 261.574 0.000 30.500 2.400
8 15 1980 30.300 21.400 197.917 0.000 36.200 4.800
8 16 1980 32.300 20.400 287.037 0.000 32.300 1.200
8 17 1980 31.700 21.200 291.667 0.000 34.300 4.200
8 18 1980 32.700 20.500 290.509 0.000 27.200 3.900
8 19 1980 33.800 21.300 129.630 0.200 37.200 4.700
8 20 1980 41.100 25.300 281.250 0.000 18.200 4.900
8 21 1980 36.500 25.400 280.093 0.000 27.900 1.400
8 22 1980 35.200 23.400 252.315 0.000 28.900 1.000
8 23 1980 36.200 24.100 217.593 0.000 29.400 2.600
8 24 1980 36.900 24.100 260.417 0.000 26.800 1.000
8 25 1980 34.800 23.400 105.324 0.000 34.200 0.700
8 26 1980 31.100 21.900 114.583 0.000 39.900 2.300
8 27 1980 31.300 21.200 250.000 0.000 38.100 3.000
8 28 1980 33.800 21.900 259.259 0.000 28.700 1.800
8 29 1980 33.400 22.100 267.361 0.000 24.400 3.400
8 30 1980 36.300 22.300 270.833 0.000 19.500 2.700
8 31 1980 35.200 23.200 266.204 0.000 28.700 1.700
9 1 1980 35.800 22.400 289.352 0.000 32.000 4.100
9 2 1980 30.100 22.000 122.685 2.400 48.300 2.400
9 3 1980 30.300 22.500 135.417 0.000 45.100 3.700
9 4 1980 31.300 21.900 136.574 6.500 46.200 3.200
9 5 1980 33.500 22.900 252.315 0.000 38.200 1.400
9 6 1980 36.400 23.100 274.306 0.000 28.700 3.000
9 7 1980 34.300 21.900 273.148 0.000 29.600 3.200
9 8 1980 32.900 22.300 192.130 0.000 33.500 1.900
9 9 1980 29.200 21.700 130.787 0.000 53.200 3.700
9 10 1980 30.200 21.200 200.231 0.000 42.600 4.000
9 11 1980 30.800 20.300 260.417 0.000 38.400 2.600
9 12 1980 32.800 20.300 266.204 0.000 27.400 0.400
9 13 1980 34.000 21.800 219.907 0.000 29.900 0.800
9 14 1980 33.100 22.900 226.852 0.000 36.900 1.000
9 15 1980 32.200 21.400 244.213 0.000 38.400 2.000
9 16 1980 31.600 21.300 237.269 0.000 39.400 1.700
9 17 1980 32.700 20.700 246.528 0.000 24.800 1.800
9 18 1980 32.400 20.600 238.426 0.000 31.300 1.700
9 19 1980 36.000 21.900 177.083 0.000 25.600 1.900
9 20 1980 26.300 20.700 100.694 1.600 62.000 2.600
9 21 1980 27.900 20.100 164.352 0.000 46.200 2.500
9 22 1980 30.100 19.500 215.278 0.000 35.800 1.500
9 23 1980 32.700 20.000 164.352 0.000 31.900 2.500
9 24 1980 28.800 21.300 106.481 1.000 49.800 2.800
9 25 1980 30.600 21.200 112.269 0.000 43.600 1.800
9 26 1980 31.000 20.700 144.676 0.000 34.100 1.200
9 27 1980 31.700 19.700 208.333 0.000 29.500 1.500
9 28 1980 29.900 21.100 109.954 0.000 34.600 2.800
9 29 1980 35.500 20.300 194.444 0.000 25.100 3.900
9 30 1980 30.500 20.000 188.657 0.000 40.200 3.200
10 1 1980 30.400 18.400 247.685 0.000 33.600 2.800
10 2 1980 32.900 20.100 247.685 0.000 23.100 1.700
10 3 1980 34.900 20.000 241.898 0.000 16.500 1.500
10 4 1980 32.400 19.400 200.231 0.000 30.000 0.700
10 5 1980 33.500 21.400 212.963 0.000 27.000 0.600
10 6 1980 30.200 20.600 119.213 2.800 43.300 2.100
10 7 1980 28.400 19.500 188.657 0.000 47.400 4.400
10 8 1980 25.400 19.300 196.759 0.000 55.700 7.100
10 9 1980 25.200 17.100 167.824 2.900 45.400 3.700
10 10 1980 27.200 16.400 202.546 0.000 34.000 2.600
10 11 1980 24.800 17.400 195.602 0.000 55.800 7.200
